action_org,action_repo,action_workflow,action_fork,action_archived,action_stars,action_trusted_org,action_deprecated,action_ref,action_ref_type,action_ref_resolved_to,action_ref_resolved_type,action_url,parent_org,parent_repo,parent_workflow,parent_fork,parent_archived,parent_ref,parent_ref_type,parent_url
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/als-aggregator.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/als-aggregator.yml
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/check-action-pinning.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/check-action-pinning.yml
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/cybersecurity-jobs.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/cybersecurity-jobs.yml
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/deploy-pages.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/deploy-pages.yml
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/generate-science-facts.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/generate-science-facts.yml
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/generate-scifi.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/generate-scifi.yml
actions,checkout,actions/checkout,0,0,0,1,0,de0fac2e4500dabe0009e67214ff5f5447ce83dd,commit,unknown,unknown,https://github.com/actions/checkout/tree/de0fac2e4500dabe0009e67214ff5f5447ce83dd/,bensmith83,friendly-enigma,.github/workflows/scrape-papers.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/scrape-papers.yml
actions,configure-pages,actions/configure-pages,0,0,0,1,0,983d7736d9b0ae728b81ab479565c72886d7745b,commit,unknown,unknown,https://github.com/actions/configure-pages/tree/983d7736d9b0ae728b81ab479565c72886d7745b/,bensmith83,friendly-enigma,.github/workflows/deploy-pages.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/deploy-pages.yml
actions,deploy-pages,actions/deploy-pages,0,0,0,1,0,d6db90164ac5ed86f2b6aed7e0febac5b3c0c03e,commit,unknown,unknown,https://github.com/actions/deploy-pages/tree/d6db90164ac5ed86f2b6aed7e0febac5b3c0c03e/,bensmith83,friendly-enigma,.github/workflows/deploy-pages.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/deploy-pages.yml
actions,github-script,actions/github-script,0,0,0,1,0,ed597411d8f924073f98dfc5c65a23a2325f34cd,commit,unknown,unknown,https://github.com/actions/github-script/tree/ed597411d8f924073f98dfc5c65a23a2325f34cd/,bensmith83,friendly-enigma,.github/workflows/generate-scifi.yml,0,0,claude/integrate-butler-scanner-8Iid0,branch,https://github.com/bensmith83/friendly-enigma/blob/9fad768e66e691fdf11d4a32e976f4e102e0cf53/.github/workflows/generate-scifi.yml
